Park,,,,,Jan-24,Jan-25,,,DIFF,YTD 2024,,YTD 2025,,DIFF
Amistad NRA,,,,,0,60,,,60,0,,60,,60
Assateague Island NS,,,,,7,0,,,-7,7,,0,,-7
Big Bend NP,,,,,"1,092","1,358",,,266,"1,092",,"1,358",,266
Big Cypress NPRES,,,,,11,10,,,-1,11,,10,,-1
Bighorn Canyon NRA,,,,,11,0,,,-11,11,,0,,-11
Biscayne NP,,,,,180,230,,,50,180,,230,,50
Buck Island Reef NM,,,,,360,360,,,0,360,,360,,0
Buffalo NR,,,,,0,169,,,169,0,,169,,169
Cape Cod NS,,,,,395,244,,,-151,395,,244,,-151
Cape Hatteras NS,,,,,16,8,,,-8,16,,8,,-8
Catoctin Mountain Park,,,,,54,12,,,-42,54,,12,,-42
Channel Islands NP,,,,,896,896,,,0,896,,896,,0
Chesapeake & Ohio Canal NHP,,,,,336,190,,,-146,336,,190,,-146
Chickamauga & Chattanooga NMP,,,,,0,33,,,33,0,,33,,33
Chiricahua NM,,,,,58,98,,,40,58,,98,,40
Congaree NP,,,,,228,270,,,42,228,,270,,42
Cowpens NB,,,,,71,1,,,-70,71,,1,,-70
Cuyahoga Valley NP,,,,,270,25,,,-245,270,,25,,-245
Death Valley NP,,,,,59,50,,,-9,59,,50,,-9
Delaware Water Gap NRA,,,,,749,728,,,-21,749,,728,,-21
Dry Tortugas NP,,,,,543,242,,,-301,543,,242,,-301
Everglades NP,,,,,254,46,,,-208,254,,46,,-208
Fort Necessity NB,,,,,31,62,,,31,31,,62,,31
Gateway NRA,,,,,23,13,,,-10,23,,13,,-10
Glacier Bay NP & PRES,,,,,115,115,,,0,115,,115,,0
Glen Canyon NRA,,,,,0,223,,,223,0,,223,,223
Grand Canyon NP,,,,,110,126,,,16,110,,126,,16
Guadalupe Mountains NP,,,,,96,298,,,202,96,,298,,202
Gulf Islands NS,,,,,250,414,,,164,250,,414,,164
Haleakala NP,,,,,474,611,,,137,474,,611,,137
Hawaii Volcanoes NP,,,,,"5,679","6,920",,,"1,241","5,679",,"6,920",,"1,241"
Joshua Tree NP,,,,,"5,161","8,553",,,"3,392","5,161",,"8,553",,"3,392"
Kenai Fjords NP,,,,,28,25,,,-3,28,,25,,-3
Lake Mead NRA,,,,,"2,522","2,459",,,-63,"2,522",,"2,459",,-63
Lake Meredith NRA,,,,,119,207,,,88,119,,207,,88
Mojave NPRES,,,,,50,18,,,-32,50,,18,,-32
Organ Pipe Cactus NM,,,,,17,279,,,262,17,,279,,262
Ozark NSR,,,,,13,25,,,12,13,,25,,12
Padre Island NS,,,,,31,29,,,-2,31,,29,,-2
Prince William Forest Park,,,,,380,577,,,197,380,,577,,197
San Francisco Maritime NHP,,,,,13,19,,,6,13,,19,,6
Virgin Islands NP,,,,,"1,654",0,,,"-1,654","1,654",,0,,"-1,654"
Wrangell-St. Elias NP & PRES,,,,,2,0,,,-2,2,,0,,-2
Yosemite NP,,,,,240,240,,,0,240,,240,,0
Zion NP,,,,,95,133,,,38,95,,133,,38